log_schema,trade_id,entry_time,exit_time,symbol,timeframe,side,entry_px,exit_px,profit,exit_type,bars_held,rsi,bb_width_ratio,vol_ratio,spread_pts,entry_hour,entry_dow,rsi_depth,bb_walk_count,wick_pct,ema_slope_bp,atr_ratio,bb_pen_pts,htf_slope_bp,mae_r,mfe_r,mae_r_b4,mfe_r_b4,mae_r_b5,mfe_r_b5,mae_r_b6,mfe_r_b6,sl_pts,label_bad_entry,label_tail_loss,label_early_cut_b4,label_early_cut_b6,label_early_cut,label_regime,label_profile_good,label_profile_bad,label_bad_trade,label_loss,label_sl
2,58,2023-04-26 06:45:00,2023.04.26 07:35:00,EURUSD,M5,sell,1.09889,1.09965,-0.76,e8c,9,79.91,0.001476,1.809,1,6,3,4.91,1,4.76,2.22,0.000187,10.3,-3.51,0.4,0.205,0.085,0.205,0.1,0.205,0.135,0.205,200.0,0,0,0,0,0,range,1,0,0,1,0
2,60,2023-05-09 01:05:00,2023.05.09 02:10:00,EURUSD,M5,buy,1.09914,1.09926,0.12,midline,12,18.59,0.001019,3.824,1,1,2,6.41,1,15.07,-1.65,0.000136,23.4,-4.66,0.32,0.065,0.32,0.005,0.32,0.005,0.32,0.005,200.0,0,0,0,0,0,range,1,0,0,0,0
2,62,2023-05-09 12:35:00,2023.05.09 13:45:00,EURUSD,M5,buy,1.09658,1.09626,-0.32,midline,13,23.84,0.001438,1.77,1,12,2,1.16,4,9.47,-2.51,0.000289,56.3,-6.35,0.365,0.07,0.335,0.05,0.335,0.05,0.365,0.05,200.0,0,0,0,0,0,trend,0,1,0,1,0
2,64,2023-05-10 06:25:00,2023.05.10 07:15:00,EURUSD,M5,buy,1.09683,1.09717,0.34,midline,9,24.79,0.00092,2.002,1,6,3,0.21,1,10.71,-1.66,0.000121,6.5,-2.74,0.295,0.205,0.295,0.025,0.295,0.025,0.295,0.025,200.0,0,0,0,0,0,range,1,0,0,0,0
2,66,2023-05-15 07:15:00,2023.05.15 07:25:00,EURUSD,M5,sell,1.08717,1.0868,0.37,midline,1,76.71,0.001117,1.983,1,7,1,1.71,1,0.0,1.71,0.000193,5.2,-6.45,0.02,0.315,,,,,,,200.0,0,0,0,0,0,trend,1,0,0,0,0
2,68,2023-05-17 06:55:00,2023.05.17 07:30:00,EURUSD,M5,buy,1.08567,1.08602,0.35,midline,6,24.14,0.001073,1.98,1,6,3,0.86,1,36.73,-1.95,0.000187,9.9,-2.1,0.325,0.22,0.325,0.025,0.325,0.08,0.325,0.22,200.0,0,0,0,0,0,range,1,0,0,0,0
2,70,2023-05-19 07:10:00,2023.05.19 08:25:00,EURUSD,M5,sell,1.07787,1.07823,-0.36,midline,14,75.76,0.001522,2.457,1,7,5,0.76,5,1.09,2.72,0.000223,56.6,-7.14,0.665,0.14,0.665,0.14,0.665,0.14,0.665,0.14,200.0,1,0,1,1,1,trend,0,1,1,1,0
2,72,2023-05-21 23:25:00,2023.05.22 00:45:00,EURUSD,M5,sell,1.08179,1.08182,-0.03,midline,15,75.77,0.001301,2.178,2,23,0,0.77,5,7.5,2.78,0.000176,32.8,0.67,0.31,0.06,0.09,0.045,0.09,0.045,0.09,0.045,200.0,0,0,0,0,0,chop,0,1,0,1,0
2,74,2023-05-30 06:25:00,2023.05.30 07:35:00,EURUSD,M5,buy,1.06879,1.06939,0.6,midline,13,16.44,0.001579,3.379,1,6,2,8.56,4,21.05,-3.07,0.000267,88.8,-2.4,0.325,0.355,0.2,0.335,0.325,0.335,0.325,0.335,200.0,0,0,0,0,0,range,1,0,0,0,0
2,76,2023-06-05 00:35:00,2023.06.05 01:55:00,EURUSD,M5,buy,1.06962,1.0694,-0.22,midline,15,22.03,0.001241,1.508,1,0,1,2.97,1,7.69,-2.3,0.000176,4.6,-4.94,0.295,0.105,0.125,0.105,0.2,0.105,0.22,0.105,200.0,0,0,0,0,0,range,1,0,0,1,0
2,78,2023-06-06 03:15:00,2023.06.06 03:40:00,EURUSD,M5,sell,1.07245,1.07173,0.72,midline,4,77.44,0.00087,3.235,1,3,2,2.44,2,5.88,1.59,0.000179,39.2,0.62,0.01,0.4,0.01,0.4,,,,,200.0,0,0,0,0,0,range,1,0,0,0,0
2,80,2023-06-07 01:15:00,2023.06.07 02:00:00,EURUSD,M5,sell,1.07009,1.07005,0.04,midline,8,76.26,0.000764,2.122,1,1,3,1.26,2,30.77,1.64,0.000138,10.7,-1.38,0.175,0.15,0.155,0.15,0.155,0.15,0.175,0.15,200.0,0,0,0,0,0,range,1,0,0,0,0
