entry_time,split,profit,exit_type,label_invalid,rsi,bb_width_ratio,vol_ratio,spread_pts,entry_hour,entry_dow,side_sell,rsi_depth,mae_r_b5,mfe_r_b5,mae_r_b6,mfe_r_b6,mae_delta_b5_b6,mfe_delta_b5_b6
2023-11-09 06:00:00+00:00,train,0.5,midline,0,24.12,0.000791,2.233,2,5,4,0,0.879999999999999,0.065,0.16,0.065,0.245,0.0,0.08499999999999999
2023-11-10 07:10:00+00:00,train,0.88,midline,0,23.87,0.000871,2.846,2,7,5,0,1.129999999999999,0.165,0.3,0.165,0.465,0.0,0.16500000000000004
2023-11-13 07:15:00+00:00,train,0.31,midline,0,76.71,0.001139,1.93,2,7,1,1,1.7099999999999937,0.105,0.155,0.105,0.155,0.0,0.0
2023-11-20 02:30:00+00:00,train,-1.43,e8c,1,75.45,0.001495,1.816,3,2,1,1,0.45000000000000284,0.15,0.15,0.15,0.15,0.0,0.0
2023-11-20 04:20:00+00:00,train,0.88,midline,0,78.61,0.001262,2.396,4,4,1,1,3.6099999999999994,0.02,0.45,0.02,0.47,0.0,0.019999999999999962
2023-11-23 06:00:00+00:00,train,0.25,midline,0,76.94,0.000798,2.205,3,5,4,1,1.9399999999999977,0.365,0.06,0.365,0.1,0.0,0.04000000000000001
2023-11-28 23:30:00+00:00,train,0.48,midline,0,78.37,0.00121,1.884,5,23,2,1,3.3700000000000045,0.07,0.16,0.07,0.2,0.0,0.04000000000000001
2023-11-29 01:05:00+00:00,train,0.84,midline,0,80.07,0.001302,3.604,3,1,3,1,5.069999999999993,0.055,0.36,0.055,0.36,0.0,0.0
2023-12-05 00:40:00+00:00,train,0.51,midline,0,78.33,0.00093,1.867,8,0,2,1,3.3299999999999983,0.04,0.145,0.04,0.325,0.0,0.18000000000000002
2023-12-07 07:35:00+00:00,train,-0.2,midline,0,75.49,0.001449,1.544,1,7,4,1,0.4899999999999949,0.44,0.085,0.44,0.085,0.0,0.0
2023-12-12 07:00:00+00:00,train,0.22,midline,0,81.66,0.001014,1.641,8,6,2,1,6.659999999999997,0.195,0.1,0.195,0.1,0.0,0.0
2023-12-14 00:35:00+00:00,train,0.51,midline,0,75.31,0.001405,2.213,7,0,4,1,0.3100000000000023,0.11,0.26,0.11,0.3,0.0,0.03999999999999998
2023-12-19 07:20:00+00:00,train,1.05,midline,0,75.09,0.001312,2.059,1,7,2,1,0.09000000000000341,0.115,0.365,0.115,0.39,0.0,0.025000000000000022
2023-12-20 06:30:00+00:00,train,0.11,midline,0,13.08,0.001148,1.625,1,6,3,0,11.92,0.12,0.135,0.34,0.135,0.22000000000000003,0.0
2023-12-26 09:05:00+00:00,train,0.34,midline,0,23.87,0.001327,1.92,1,9,2,0,1.129999999999999,0.145,0.06,0.145,0.06,0.0,0.0
2023-12-27 01:20:00+00:00,train,0.28,midline,0,23.45,0.00097,1.833,1,1,3,0,1.5500000000000007,0.08,0.095,0.08,0.095,0.0,0.0
2023-12-29 00:55:00+00:00,train,-0.11,midline,0,76.63,0.001111,3.293,3,0,5,1,1.6299999999999955,0.27,0.125,0.29,0.125,0.019999999999999962,0.0
2024-01-04 03:35:00+00:00,val,0.33,midline,0,77.39,0.001151,2.237,3,3,4,1,2.3900000000000006,0.105,0.175,0.105,0.175,0.0,0.0
2024-01-05 03:30:00+00:00,val,-0.09,midline,0,23.86,0.001422,1.573,3,3,5,0,1.1400000000000006,0.11,0.05,0.115,0.05,0.0050000000000000044,0.0
2024-01-05 06:35:00+00:00,val,0.27,midline,0,23.23,0.001051,2.11,1,6,5,0,1.7699999999999996,0.15,0.045,0.15,0.095,0.0,0.05
2024-01-12 07:15:00+00:00,val,0.76,midline,0,24.19,0.001147,2.607,1,7,5,0,0.8099999999999987,0.285,0.16,0.285,0.16,0.0,0.0
2024-01-18 01:00:00+00:00,val,-0.2,midline,0,79.9,0.000965,2.747,3,0,4,1,4.900000000000006,0.335,0.105,0.335,0.105,0.0,0.0
2024-01-19 06:05:00+00:00,val,0.01,midline,0,24.73,0.000908,1.783,3,6,5,0,0.2699999999999996,0.24,0.075,0.24,0.075,0.0,0.0
2024-01-23 05:40:00+00:00,val,-1.12,e8c,1,76.4,0.000977,1.652,3,5,2,1,1.4000000000000057,0.255,0.08,0.255,0.08,0.0,0.0
2024-01-25 00:15:00+00:00,val,-0.02,midline,0,21.81,0.001097,1.892,3,0,4,0,3.1900000000000013,0.155,0.055,0.155,0.055,0.0,0.0
2024-01-29 20:05:00+00:00,val,-0.01,midline,1,80.53,0.001537,3.885,1,20,1,1,5.530000000000001,0.64,0.08,0.64,0.08,0.0,0.0
2024-01-30 07:00:00+00:00,val,0.17,midline,0,23.71,0.001226,1.688,1,6,2,0,1.2899999999999991,0.17,0.19,0.17,0.19,0.0,0.0
2024-02-01 07:10:00+00:00,val,0.0,midline,0,23.24,0.001134,1.508,1,7,4,0,1.7600000000000016,0.48,0.01,0.48,0.01,0.0,0.0
2024-02-07 01:10:00+00:00,val,-0.21,midline,0,75.72,0.000591,2.684,3,1,3,1,0.7199999999999989,0.055,0.075,0.055,0.075,0.0,0.0
2024-02-15 12:35:00+00:00,val,-2.1,sl,1,75.61,0.000938,1.621,1,12,4,1,0.6099999999999994,0.185,0.14,0.185,0.14,0.0,0.0
2024-02-16 00:30:00+00:00,val,-0.05,midline,0,24.42,0.001154,1.513,4,0,5,0,0.5799999999999983,0.225,0.04,0.225,0.04,0.0,0.0
2024-02-19 07:15:00+00:00,val,0.4,midline,0,75.33,0.00085,1.576,2,7,1,1,0.3299999999999983,0.065,0.12,0.065,0.26,0.0,0.14
2024-02-19 18:20:00+00:00,val,0.34,midline,0,88.16,0.001326,2.0,2,18,1,1,13.159999999999997,0.01,0.18,0.01,0.24,0.0,0.06
2024-02-22 00:35:00+00:00,val,-0.04,midline,0,75.48,0.000965,1.575,4,0,4,1,0.480000000000004,0.185,0.03,0.185,0.065,0.0,0.035
2024-02-22 05:15:00+00:00,val,-0.51,e8c,0,76.32,0.000933,1.997,4,5,4,1,1.3199999999999932,0.14,0.03,0.26,0.03,0.12,0.0
2024-02-22 05:50:00+00:00,val,-0.68,e8c,0,79.41,0.0011,2.123,4,5,4,1,4.409999999999997,0.005,0.24,0.005,0.24,0.0,0.0
2024-02-22 07:10:00+00:00,val,-2.33,sl,1,76.42,0.000993,2.363,2,7,4,1,1.4200000000000017,0.365,0.07,0.505,0.07,0.14,0.0
2024-02-26 07:10:00+00:00,val,0.08,midline,0,75.78,0.000775,2.459,2,7,1,1,0.7800000000000011,0.365,0.025,0.365,0.025,0.0,0.0
2024-02-28 05:35:00+00:00,val,-0.47,midline,1,20.02,0.000554,2.283,4,5,3,0,4.98,0.15,0.04,0.15,0.07,0.0,0.030000000000000006
2024-03-01 02:00:00+00:00,val,0.18,midline,0,88.57,0.0014,1.624,4,1,5,1,13.569999999999993,0.03,0.245,0.03,0.245,0.0,0.0
2024-03-06 01:30:00+00:00,val,-0.01,midline,0,24.86,0.000887,2.225,4,1,3,0,0.14000000000000057,0.225,0.01,0.225,0.035,0.0,0.025
2024-03-06 07:15:00+00:00,val,0.05,midline,0,76.49,0.000855,2.262,2,7,3,1,1.4899999999999949,0.185,0.12,0.185,0.12,0.0,0.0
2024-03-07 07:45:00+00:00,val,0.0,midline,0,24.85,0.001004,1.538,1,7,4,0,0.14999999999999858,0.29,0.14,0.29,0.14,0.0,0.0
2024-03-08 07:35:00+00:00,val,0.05,midline,0,23.74,0.001198,1.863,1,7,5,0,1.2600000000000016,0.29,0.045,0.29,0.045,0.0,0.0
2024-03-13 17:10:00+00:00,val,0.25,midline,0,75.28,0.001562,1.845,1,17,3,1,0.28000000000000114,0.31,0.05,0.31,0.05,0.0,0.0
2024-03-19 08:05:00+00:00,val,-0.48,midline,0,20.53,0.001603,1.953,1,8,2,0,4.469999999999999,0.305,0.08,0.48,0.08,0.175,0.0
2024-03-22 01:40:00+00:00,val,-2.0,sl,1,24.25,0.000994,2.615,1,1,5,0,0.75,0.255,0.1,0.31,0.1,0.05499999999999999,0.0
2024-03-27 22:05:00+00:00,val,-0.52,midline,0,24.74,0.000879,2.761,12,22,3,0,0.26000000000000156,0.345,0.0,0.345,0.0,0.0,0.0
2024-03-28 07:15:00+00:00,val,-2.01,sl,1,22.68,0.001379,2.003,1,7,4,0,2.3200000000000003,0.535,0.04,0.535,0.04,0.0,0.0
2024-04-04 19:10:00+00:00,val,-0.81,e8c,0,24.69,0.000631,1.703,1,19,4,0,0.3099999999999987,0.29,0.13,0.41,0.13,0.12,0.0
2024-04-04 19:45:00+00:00,val,-1.0,midline,1,17.14,0.001543,1.545,1,19,4,0,7.859999999999999,0.09,0.325,0.155,0.325,0.065,0.0
2024-04-11 07:10:00+00:00,val,0.48,midline,0,21.81,0.000798,2.219,1,7,4,0,3.1900000000000013,0.12,0.105,0.12,0.115,0.0,0.010000000000000009
2024-04-12 07:05:00+00:00,val,-1.61,e8c,1,22.83,0.000588,3.779,1,7,5,0,2.1700000000000017,0.25,0.15,0.785,0.15,0.535,0.0
2024-04-16 02:10:00+00:00,val,0.24,midline,0,23.43,0.001415,1.711,1,2,2,0,1.5700000000000003,0.335,0.125,0.335,0.125,0.0,0.0
2024-04-19 01:20:00+00:00,val,0.53,midline,0,23.79,0.000594,2.225,1,1,5,0,1.2100000000000009,0.035,0.155,0.035,0.345,0.0,0.18999999999999997
2024-04-19 02:30:00+00:00,val,-0.81,midline,1,22.51,0.001578,1.63,1,2,5,0,2.4899999999999984,0.69,0.035,0.69,0.035,0.0,0.0
2024-04-23 07:10:00+00:00,val,0.43,midline,0,24.28,0.001073,1.664,1,7,2,0,0.7199999999999989,0.295,0.08,0.295,0.08,0.0,0.0
2024-04-24 08:15:00+00:00,val,0.3,midline,0,20.5,0.001476,1.879,1,8,3,0,4.5,0.125,0.235,0.14,0.235,0.015000000000000013,0.0
2024-04-25 01:05:00+00:00,val,0.08,midline,0,77.23,0.000538,2.214,2,1,4,1,2.230000000000004,0.11,0.16,0.11,0.16,0.0,0.0
2024-04-25 07:15:00+00:00,val,0.1,midline,0,81.37,0.000766,1.672,1,7,4,1,6.3700000000000045,0.57,0.06,0.57,0.06,0.0,0.0
2024-04-29 01:05:00+00:00,val,0.08,midline,0,78.81,0.000834,1.571,1,1,1,1,3.8100000000000023,0.05,0.15,0.05,0.15,0.0,0.0
2024-04-29 05:15:00+00:00,val,-0.21,midline,0,77.58,0.000759,3.225,1,5,1,1,2.5799999999999983,0.26,0.05,0.34,0.05,0.08000000000000002,0.0
2024-05-07 07:05:00+00:00,val,0.61,midline,0,23.99,0.001183,2.411,1,7,2,0,1.0100000000000016,0.135,0.175,0.135,0.175,0.0,0.0
